time_Schubert_D911-03_HU33,time_Schubert_D911-03_SC06,time_Schubert_D911-03_2,time_Schubert_D911-03,measure_Schubert_D911-03_2,time_sync_reference
1.940000,2.100000,2.220000,2.220000,1.305000,1.940000
1.960000,2.120000,2.240000,2.240000,1.310000,1.960000
1.980000,2.140000,2.260000,2.260000,1.315000,1.980000
2.000000,2.160000,2.280000,2.280000,1.320000,2.000000
2.020000,2.180000,2.300000,2.300000,1.325000,2.020000
2.040000,2.200000,2.320000,2.320000,1.330000,2.040000
2.060000,2.220000,2.340000,2.340000,1.335000,2.060000
2.080000,2.240000,2.360000,2.360000,1.340000,2.080000
2.100000,2.260000,2.380000,2.380000,1.345000,2.100000
2.120000,2.280000,2.400000,2.400000,1.350000,2.120000
2.140000,2.300000,2.420000,2.420000,1.355000,2.140000
2.160000,2.320000,2.440000,2.440000,1.360000,2.160000
2.180000,2.340000,2.460000,2.460000,1.365000,2.180000
2.200000,2.360000,2.480000,2.480000,1.370000,2.200000
2.220000,2.380000,2.500000,2.500000,1.375000,2.220000
2.240000,2.400000,2.520000,2.520000,1.380000,2.240000
2.260000,2.420000,2.540000,2.540000,1.385000,2.260000
2.280000,2.440000,2.560000,2.560000,1.390000,2.280000
2.300000,2.460000,2.580000,2.580000,1.395000,2.300000
2.320000,2.480000,2.600000,2.600000,1.400000,2.320000
2.340000,2.500000,2.620000,2.620000,1.405000,2.340000
2.360000,2.740000,2.640000,2.640000,1.410000,2.360000
2.380000,2.780000,2.660000,2.660000,1.415000,2.380000
2.400000,2.800000,3.540000,3.540000,1.635000,2.400000
2.420000,2.802000,3.560000,3.560000,1.640000,2.420000
2.440000,2.804000,3.580000,3.580000,1.645000,2.440000
2.460000,2.806000,3.600000,3.600000,1.650000,2.460000
2.480000,2.808000,3.620000,3.620000,1.655000,2.480000
2.500000,2.810000,3.640000,3.640000,1.660000,2.500000
2.520000,2.812000,3.660000,3.660000,1.665000,2.520000
2.540000,2.814000,3.680000,3.680000,1.670000,2.540000
2.560000,2.816000,3.700000,3.700000,1.675000,2.560000
2.580000,2.818000,3.720000,3.720000,1.680000,2.580000
2.600000,2.820000,3.740000,3.740000,1.685000,2.600000
2.620000,2.830000,3.760000,3.760000,1.690000,2.620000
2.640000,2.840000,3.780000,3.780000,1.695000,2.640000
2.660000,2.842000,3.800000,3.800000,1.700000,2.660000
2.680000,2.844000,3.820000,3.820000,1.705000,2.680000
2.700000,2.846000,3.840000,3.840000,1.710000,2.700000
2.720000,2.848000,3.860000,3.860000,1.715000,2.720000
2.740000,2.850000,3.880000,3.880000,1.720000,2.740000
2.760000,2.852000,3.900000,3.900000,1.725000,2.760000
2.780000,2.854000,3.920000,3.920000,1.730000,2.780000
2.800000,2.856000,3.940000,3.940000,1.735000,2.800000
2.820000,2.858000,3.960000,3.960000,1.740000,2.820000
2.840000,2.860000,3.980000,3.980000,1.745000,2.840000
2.860000,2.880000,4.000000,4.000000,1.750000,2.860000
2.880000,2.900000,4.020000,4.020000,1.755000,2.880000
2.900000,2.920000,4.040000,4.040000,1.760000,2.900000
2.920000,2.940000,4.060000,4.060000,1.765000,2.920000
2.940000,2.960000,4.080000,4.080000,1.770000,2.940000
2.960000,2.980000,4.100000,4.100000,1.775000,2.960000
2.980000,3.000000,4.120000,4.120000,1.780000,2.980000
3.000000,3.020000,4.140000,4.140000,1.785000,3.000000
3.020000,3.040000,4.160000,4.160000,1.790000,3.020000
3.040000,3.060000,4.180000,4.180000,1.795000,3.040000
3.060000,3.080000,4.200000,4.200000,1.800000,3.060000
3.080000,3.100000,4.220000,4.220000,1.805000,3.080000
3.100000,3.120000,4.240000,4.240000,1.810000,3.100000
3.120000,3.320000,4.260000,4.260000,1.815000,3.120000
3.140000,3.340000,4.280000,4.280000,1.820000,3.140000
3.160000,3.360000,4.300000,4.300000,1.825000,3.160000
3.180000,3.380000,4.320000,4.320000,1.830000,3.180000
3.200000,3.400000,4.340000,4.340000,1.835000,3.200000
3.220000,3.420000,4.360000,4.360000,1.840000,3.220000
3.240000,3.440000,4.380000,4.380000,1.845000,3.240000
3.260000,3.460000,4.400000,4.400000,1.850000,3.260000
3.280000,3.480000,4.420000,4.420000,1.855000,3.280000
3.300000,3.500000,4.440000,4.440000,1.860000,3.300000
3.320000,3.520000,4.460000,4.460000,1.865000,3.320000
3.340000,3.540000,4.480000,4.480000,1.870000,3.340000
3.360000,3.560000,4.500000,4.500000,1.875000,3.360000
3.380000,3.580000,4.520000,4.520000,1.880000,3.380000
3.400000,3.600000,4.540000,4.540000,1.885000,3.400000
3.420000,3.620000,4.560000,4.560000,1.890000,3.420000
3.440000,3.640000,4.580000,4.580000,1.895000,3.440000
3.460000,3.660000,4.600000,4.600000,1.900000,3.460000
3.480000,3.680000,4.620000,4.620000,1.905000,3.480000
3.500000,3.700000,4.980000,4.980000,1.995000,3.500000
3.520000,3.720000,5.000000,5.000000,2.000000,3.520000
3.540000,3.740000,5.020000,5.020000,2.005000,3.540000
3.560000,3.760000,5.040000,5.040000,2.010000,3.560000
3.580000,3.780000,5.060000,5.060000,2.015000,3.580000
3.600000,3.800000,5.080000,5.080000,2.020000,3.600000
3.620000,3.820000,5.100000,5.100000,2.025000,3.620000
3.640000,3.840000,5.120000,5.120000,2.030000,3.640000
3.660000,3.860000,5.140000,5.140000,2.035000,3.660000
3.680000,3.880000,5.160000,5.160000,2.040000,3.680000
3.700000,3.900000,5.180000,5.180000,2.045000,3.700000
3.720000,3.920000,5.200000,5.200000,2.050000,3.720000
3.740000,3.940000,5.220000,5.220000,2.055000,3.740000
3.760000,3.960000,5.240000,5.240000,2.060000,3.760000
3.780000,3.980000,5.260000,5.260000,2.065000,3.780000
3.800000,4.000000,5.280000,5.280000,2.070000,3.800000
3.820000,4.020000,5.300000,5.300000,2.075000,3.820000
3.840000,4.040000,5.320000,5.320000,2.080000,3.840000
3.860000,4.060000,5.340000,5.340000,2.085000,3.860000
3.880000,4.080000,5.360000,5.360000,2.090000,3.880000
3.900000,4.100000,5.380000,5.380000,2.095000,3.900000
3.920000,4.120000,5.400000,5.400000,2.100000,3.920000
3.940000,4.140000,5.420000,5.420000,2.105000,3.940000
3.960000,4.160000,5.800000,5.800000,2.200000,3.960000
3.980000,4.180000,5.820000,5.820000,2.205000,3.980000
4.000000,4.200000,5.840000,5.840000,2.210000,4.000000
4.020000,4.220000,5.860000,5.860000,2.215000,4.020000
4.040000,4.240000,5.880000,5.880000,2.220000,4.040000
4.060000,4.260000,5.900000,5.900000,2.225000,4.060000
4.080000,4.280000,5.920000,5.920000,2.230000,4.080000
4.100000,4.300000,5.940000,5.940000,2.235000,4.100000
4.120000,4.320000,5.960000,5.960000,2.240000,4.120000
4.140000,4.340000,5.980000,5.980000,2.245000,4.140000
4.160000,4.360000,6.000000,6.000000,2.250000,4.160000
4.180000,4.380000,6.020000,6.020000,2.255000,4.180000
4.200000,4.400000,6.040000,6.040000,2.260000,4.200000
4.220000,4.420000,6.060000,6.060000,2.265000,4.220000
4.240000,4.440000,6.080000,6.080000,2.270000,4.240000
4.260000,4.460000,6.100000,6.100000,2.275000,4.260000
4.280000,4.480000,6.120000,6.120000,2.280000,4.280000
4.300000,4.500000,6.140000,6.140000,2.285000,4.300000
4.320000,4.520000,6.160000,6.160000,2.290000,4.320000
4.340000,4.540000,6.180000,6.180000,2.295000,4.340000
4.360000,4.560000,6.200000,6.200000,2.300000,4.360000
4.380000,4.580000,6.220000,6.220000,2.305000,4.380000
4.400000,4.600000,6.240000,6.240000,2.310000,4.400000
4.420000,4.620000,6.260000,6.260000,2.315000,4.420000
4.440000,4.640000,6.280000,6.280000,2.320000,4.440000
4.460000,4.660000,6.300000,6.300000,2.325000,4.460000
4.480000,4.680000,6.320000,6.320000,2.330000,4.480000
4.500000,4.700000,6.340000,6.340000,2.335000,4.500000
4.520000,4.720000,6.360000,6.360000,2.340000,4.520000
4.540000,4.740000,6.380000,6.380000,2.345000,4.540000
4.560000,4.760000,6.400000,6.400000,2.350000,4.560000
4.580000,4.780000,6.420000,6.420000,2.355000,4.580000
4.600000,4.800000,6.440000,6.440000,2.360000,4.600000
4.620000,4.820000,6.460000,6.460000,2.365000,4.620000
4.640000,4.840000,6.480000,6.480000,2.370000,4.640000
4.660000,4.860000,6.500000,6.500000,2.375000,4.660000
4.680000,4.880000,6.520000,6.520000,2.380000,4.680000
4.700000,4.900000,6.540000,6.540000,2.385000,4.700000
4.720000,4.920000,6.560000,6.560000,2.390000,4.720000
4.740000,4.940000,6.580000,6.580000,2.395000,4.740000
4.760000,4.960000,6.600000,6.600000,2.400000,4.760000
4.780000,4.980000,6.620000,6.620000,2.405000,4.780000
4.800000,5.000000,6.640000,6.640000,2.410000,4.800000
4.820000,5.020000,6.660000,6.660000,2.415000,4.820000
4.840000,5.040000,6.680000,6.680000,2.420000,4.840000
4.860000,5.060000,6.700000,6.700000,2.425000,4.860000
4.880000,5.080000,6.720000,6.720000,2.430000,4.880000
4.900000,5.100000,6.740000,6.740000,2.435000,4.900000
4.920000,5.120000,6.760000,6.760000,2.440000,4.920000
4.940000,5.140000,6.780000,6.780000,2.445000,4.940000
4.960000,5.160000,6.800000,6.800000,2.450000,4.960000
4.980000,5.180000,6.820000,6.820000,2.455000,4.980000
5.000000,5.200000,6.840000,6.840000,2.460000,5.000000
5.020000,5.220000,6.860000,6.860000,2.465000,5.020000
5.040000,5.240000,6.880000,6.880000,2.470000,5.040000
5.060000,5.260000,6.900000,6.900000,2.475000,5.060000
5.080000,5.280000,7.740000,7.740000,2.685000,5.080000
5.100000,5.300000,7.760000,7.760000,2.690000,5.100000
5.120000,5.320000,7.780000,7.780000,2.695000,5.120000
5.140000,5.340000,7.800000,7.800000,2.700000,5.140000
5.160000,5.360000,7.820000,7.820000,2.705000,5.160000
5.180000,5.380000,7.840000,7.840000,2.710000,5.180000
5.200000,5.400000,7.860000,7.860000,2.715000,5.200000
5.220000,5.420000,7.880000,7.880000,2.720000,5.220000
5.240000,5.440000,7.900000,7.900000,2.725000,5.240000
5.260000,5.460000,7.920000,7.920000,2.730000,5.260000
5.280000,5.480000,7.940000,7.940000,2.735000,5.280000
5.300000,5.500000,7.960000,7.960000,2.740000,5.300000
5.320000,5.520000,7.980000,7.980000,2.745000,5.320000
5.340000,5.530000,8.000000,8.000000,2.750000,5.340000
5.360000,5.540000,8.020000,8.020000,2.755000,5.360000
5.380000,5.560000,8.040000,8.040000,2.760000,5.380000
5.400000,5.580000,8.060000,8.060000,2.765000,5.400000
5.420000,5.600000,8.080000,8.080000,2.770000,5.420000
5.440000,5.620000,8.100000,8.100000,2.775000,5.440000
5.460000,5.640000,8.120000,8.120000,2.780000,5.460000
5.480000,5.660000,8.140000,8.140000,2.785000,5.480000
5.500000,5.680000,8.160000,8.160000,2.790000,5.500000
5.520000,5.700000,8.180000,8.180000,2.795000,5.520000
5.540000,5.720000,8.200000,8.200000,2.800000,5.540000
5.560000,5.740000,8.220000,8.220000,2.805000,5.560000
5.580000,5.760000,8.240000,8.240000,2.810000,5.580000
5.600000,5.780000,8.260000,8.260000,2.815000,5.600000
5.620000,5.800000,8.280000,8.280000,2.820000,5.620000
5.640000,5.820000,8.300000,8.300000,2.825000,5.640000
5.660000,5.840000,8.320000,8.320000,2.830000,5.660000
5.680000,5.860000,8.340000,8.340000,2.835000,5.680000
5.700000,5.880000,8.360000,8.360000,2.840000,5.700000
5.720000,5.980000,8.380000,8.380000,2.845000,5.720000
5.740000,6.000000,8.400000,8.400000,2.850000,5.740000
5.760000,6.020000,8.420000,8.420000,2.855000,5.760000
5.780000,6.040000,8.440000,8.440000,2.860000,5.780000
5.800000,6.060000,8.460000,8.460000,2.865000,5.800000
5.820000,6.160000,8.480000,8.480000,2.870000,5.820000
5.840000,6.240000,8.500000,8.500000,2.875000,5.840000
5.860000,6.260000,8.520000,8.520000,2.880000,5.860000
5.880000,6.280000,8.900000,8.900000,2.975000,5.880000
5.900000,6.340000,8.920000,8.920000,2.980000,5.900000
5.920000,6.360000,8.940000,8.940000,2.985000,5.920000
5.940000,6.380000,8.960000,8.960000,2.990000,5.940000
5.960000,6.400000,8.980000,8.980000,2.995000,5.960000
5.980000,6.420000,9.000000,9.000000,3.000000,5.980000
6.000000,6.440000,9.020000,9.020000,3.005000,6.000000
6.020000,6.460000,9.040000,9.040000,3.010000,6.020000
6.040000,6.480000,9.060000,9.060000,3.015000,6.040000
6.060000,6.500000,9.080000,9.080000,3.020000,6.060000
6.080000,6.520000,9.100000,9.100000,3.025000,6.080000
6.100000,6.540000,9.120000,9.120000,3.030000,6.100000
6.120000,6.560000,9.140000,9.140000,3.035000,6.120000
6.140000,6.580000,9.160000,9.160000,3.040000,6.140000
6.160000,6.600000,9.180000,9.180000,3.045000,6.160000
6.180000,6.620000,9.200000,9.200000,3.050000,6.180000
6.200000,6.640000,9.220000,9.220000,3.055000,6.200000
6.220000,6.660000,9.240000,9.240000,3.060000,6.220000
6.240000,6.680000,9.260000,9.260000,3.065000,6.240000
6.260000,6.700000,9.280000,9.280000,3.070000,6.260000
6.280000,6.720000,9.300000,9.300000,3.075000,6.280000
6.300000,6.740000,9.320000,9.320000,3.080000,6.300000
6.320000,6.760000,9.340000,9.340000,3.085000,6.320000
6.340000,6.780000,9.360000,9.360000,3.090000,6.340000
6.360000,6.800000,9.380000,9.380000,3.095000,6.360000
6.380000,6.820000,9.400000,9.400000,3.100000,6.380000
6.400000,6.840000,9.420000,9.420000,3.105000,6.400000
6.420000,6.860000,9.440000,9.440000,3.110000,6.420000
6.440000,6.880000,9.460000,9.460000,3.115000,6.440000
6.460000,6.900000,9.900000,9.900000,3.225000,6.460000
6.480000,6.920000,9.920000,9.920000,3.230000,6.480000
6.500000,6.940000,9.940000,9.940000,3.235000,6.500000
6.520000,6.980000,9.960000,9.960000,3.240000,6.520000
6.540000,7.000000,9.980000,9.980000,3.245000,6.540000
6.560000,7.040000,10.000000,10.000000,3.250000,6.560000
6.580000,7.060000,10.040000,10.040000,3.260000,6.580000
6.600000,7.080000,10.060000,10.060000,3.265000,6.600000
6.620000,7.100000,10.080000,10.080000,3.270000,6.620000
6.640000,7.120000,10.100000,10.100000,3.275000,6.640000
6.660000,7.140000,10.120000,10.120000,3.280000,6.660000
6.680000,7.160000,10.140000,10.140000,3.285000,6.680000
6.700000,7.180000,10.160000,10.160000,3.290000,6.700000
6.720000,7.200000,10.180000,10.180000,3.295000,6.720000
6.740000,7.220000,10.200000,10.200000,3.300000,6.740000
6.760000,7.240000,10.220000,10.220000,3.305000,6.760000
6.780000,7.260000,10.240000,10.240000,3.310000,6.780000
6.800000,7.280000,10.260000,10.260000,3.315000,6.800000
6.820000,7.300000,10.280000,10.280000,3.320000,6.820000
6.840000,7.320000,10.300000,10.300000,3.325000,6.840000
6.860000,7.340000,10.320000,10.320000,3.330000,6.860000
6.880000,7.360000,10.340000,10.340000,3.335000,6.880000
6.900000,7.380000,10.360000,10.360000,3.340000,6.900000
6.920000,7.400000,10.380000,10.380000,3.345000,6.920000
6.940000,7.420000,10.400000,10.400000,3.350000,6.940000
6.960000,7.440000,10.420000,10.420000,3.355000,6.960000
6.980000,7.460000,10.440000,10.440000,3.360000,6.980000
7.000000,7.480000,10.460000,10.460000,3.365000,7.000000
7.020000,7.500000,10.480000,10.480000,3.370000,7.020000
7.040000,7.520000,10.500000,10.500000,3.375000,7.040000
7.060000,7.540000,10.820000,10.820000,3.455000,7.060000
7.080000,7.560000,10.840000,10.840000,3.460000,7.080000
7.100000,7.580000,10.860000,10.860000,3.465000,7.100000
7.120000,7.600000,10.880000,10.880000,3.470000,7.120000
7.140000,7.620000,10.900000,10.900000,3.475000,7.140000
7.160000,7.640000,10.920000,10.920000,3.480000,7.160000
7.180000,7.660000,10.940000,10.940000,3.485000,7.180000
7.200000,7.680000,10.960000,10.960000,3.490000,7.200000
7.220000,7.700000,10.980000,10.980000,3.495000,7.220000
7.240000,7.720000,11.000000,11.000000,3.500000,7.240000
7.260000,7.740000,11.020000,11.020000,3.505000,7.260000
7.280000,7.760000,11.040000,11.040000,3.510000,7.280000
7.300000,7.780000,11.060000,11.060000,3.515000,7.300000
7.320000,7.800000,11.080000,11.080000,3.520000,7.320000
7.340000,7.820000,11.100000,11.100000,3.525000,7.340000
7.360000,7.840000,11.120000,11.120000,3.530000,7.360000
7.380000,7.860000,11.140000,11.140000,3.535000,7.380000
7.400000,7.880000,11.160000,11.160000,3.540000,7.400000
7.420000,7.900000,11.180000,11.180000,3.545000,7.420000
7.440000,7.920000,11.200000,11.200000,3.550000,7.440000
7.460000,7.940000,11.220000,11.220000,3.555000,7.460000
7.480000,7.960000,11.240000,11.240000,3.560000,7.480000
7.500000,7.980000,11.260000,11.260000,3.565000,7.500000
7.520000,8.000000,11.280000,11.280000,3.570000,7.520000
7.540000,8.040000,11.720000,11.720000,3.680000,7.540000
7.560000,8.060000,11.740000,11.740000,3.685000,7.560000
7.580000,8.080000,11.760000,11.760000,3.690000,7.580000
7.600000,8.100000,11.780000,11.780000,3.695000,7.600000
7.620000,8.120000,11.800000,11.800000,3.700000,7.620000
7.640000,8.140000,11.820000,11.820000,3.705000,7.640000
7.660000,8.160000,11.840000,11.840000,3.710000,7.660000
7.680000,8.180000,11.860000,11.860000,3.715000,7.680000
7.700000,8.200000,11.880000,11.880000,3.720000,7.700000
7.720000,8.220000,11.900000,11.900000,3.725000,7.720000
7.740000,8.240000,11.920000,11.920000,3.730000,7.740000
7.760000,8.260000,11.940000,11.940000,3.735000,7.760000
7.780000,8.280000,11.960000,11.960000,3.740000,7.780000
7.800000,8.300000,11.980000,11.980000,3.745000,7.800000
7.820000,8.320000,12.000000,12.000000,3.750000,7.820000
7.840000,8.340000,12.020000,12.020000,3.755000,7.840000
7.860000,8.360000,12.040000,12.040000,3.760000,7.860000
7.880000,8.380000,12.060000,12.060000,3.765000,7.880000
7.900000,8.400000,12.080000,12.080000,3.770000,7.900000
7.920000,8.420000,12.100000,12.100000,3.775000,7.920000
7.940000,8.440000,12.120000,12.120000,3.780000,7.940000
7.960000,8.460000,12.140000,12.140000,3.785000,7.960000
7.980000,8.480000,12.160000,12.160000,3.790000,7.980000
8.000000,8.490000,12.180000,12.180000,3.795000,8.000000
8.020000,8.500000,12.200000,12.200000,3.800000,8.020000
8.040000,8.506667,12.220000,12.220000,3.805000,8.040000
8.060000,8.513333,12.240000,12.240000,3.810000,8.060000
8.080000,8.520000,12.260000,12.260000,3.815000,8.080000
8.100000,8.524000,12.280000,12.280000,3.820000,8.100000
8.120000,8.528000,12.300000,12.300000,3.825000,8.120000
8.140000,8.532000,12.320000,12.320000,3.830000,8.140000
8.160000,8.536000,12.340000,12.340000,3.835000,8.160000
8.180000,8.540000,12.360000,12.360000,3.840000,8.180000
8.200000,8.560000,12.380000,12.380000,3.845000,8.200000
8.220000,8.580000,12.400000,12.400000,3.850000,8.220000
8.240000,8.600000,12.420000,12.420000,3.855000,8.240000
8.260000,8.620000,12.440000,12.440000,3.860000,8.260000
8.280000,8.640000,12.460000,12.460000,3.865000,8.280000
8.300000,8.660000,12.480000,12.480000,3.870000,8.300000
8.320000,8.680000,12.500000,12.500000,3.875000,8.320000
8.340000,8.700000,12.520000,12.520000,3.880000,8.340000
8.360000,8.720000,12.540000,12.540000,3.885000,8.360000
8.380000,8.740000,12.560000,12.560000,3.890000,8.380000
8.400000,8.760000,12.580000,12.580000,3.895000,8.400000
8.420000,8.780000,12.600000,12.600000,3.900000,8.420000
8.440000,8.800000,12.620000,12.620000,3.905000,8.440000
8.460000,8.820000,12.640000,12.640000,3.910000,8.460000
8.480000,8.840000,12.660000,12.660000,3.915000,8.480000
8.500000,8.860000,12.680000,12.680000,3.920000,8.500000
8.520000,8.880000,12.980000,12.980000,3.995000,8.520000
8.540000,8.900000,13.000000,13.000000,4.000000,8.540000
8.560000,8.920000,13.020000,13.020000,4.005000,8.560000
8.580000,8.940000,13.040000,13.040000,4.010000,8.580000
8.600000,8.960000,13.060000,13.060000,4.015000,8.600000
8.620000,8.980000,13.080000,13.080000,4.020000,8.620000
8.640000,9.000000,13.100000,13.100000,4.025000,8.640000
8.660000,9.020000,13.120000,13.120000,4.030000,8.660000
8.680000,9.040000,13.140000,13.140000,4.035000,8.680000
8.700000,9.060000,13.160000,13.160000,4.040000,8.700000
8.720000,9.080000,13.180000,13.180000,4.045000,8.720000
8.740000,9.100000,13.200000,13.200000,4.050000,8.740000
8.760000,9.120000,13.220000,13.220000,4.055000,8.760000
8.780000,9.140000,13.240000,13.240000,4.060000,8.780000
8.800000,9.160000,13.260000,13.260000,4.065000,8.800000
8.820000,9.180000,13.280000,13.280000,4.070000,8.820000
8.840000,9.200000,13.300000,13.300000,4.075000,8.840000
8.860000,9.220000,13.320000,13.320000,4.080000,8.860000
8.880000,9.240000,13.340000,13.340000,4.085000,8.880000
8.900000,9.260000,13.360000,13.360000,4.090000,8.900000
8.920000,9.280000,13.380000,13.380000,4.095000,8.920000
8.940000,9.300000,13.400000,13.400000,4.100000,8.940000
8.960000,9.320000,13.420000,13.420000,4.105000,8.960000
8.980000,9.340000,13.440000,13.440000,4.110000,8.980000
9.000000,9.360000,13.460000,13.460000,4.115000,9.000000
9.020000,9.380000,13.820000,13.480000,4.205000,9.020000
9.040000,9.386667,13.840000,13.500000,4.210000,9.040000
9.060000,9.393333,13.860000,13.520000,4.215000,9.060000
9.080000,9.400000,13.880000,13.540000,4.220000,9.080000
9.100000,9.420000,13.900000,13.900000,4.225000,9.100000
9.120000,9.440000,13.920000,13.920000,4.230000,9.120000
9.140000,9.460000,13.940000,13.940000,4.235000,9.140000
9.160000,9.480000,13.960000,13.960000,4.240000,9.160000
9.180000,9.490000,13.980000,13.980000,4.245000,9.180000
9.200000,9.500000,14.000000,14.000000,4.250000,9.200000
